Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2010","2010","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2011","2011","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2012","2012","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2013","2013","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2014","2014","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2015","2015","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2016","2016","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2017","2017","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2018","2018","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2019","2019","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2020","2020","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2021","2021","1000 ha","65286","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2022","2022","1000 ha","65286","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2023","2023","1000 ha","65287","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2010","2010","1000 ha","1209.44","X","Figure from external organization",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2011","2011","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2012","2012","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2013","2013","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2014","2014","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2015","2015","1000 ha","1209.44","X","Figure from external organization",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2016","2016","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2017","2017","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2018","2018","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2019","2019","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2020","2020","1000 ha","1209.44","X","Figure from external organization",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2021","2021","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2022","2022","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2023","2023","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2024","2024","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2025","2025","1000 ha","1209.44","X","Figure from external organization",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2010","2010","1000 ha","1209.44","X","Figure from external organization",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2011","2011","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2012","2012","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2013","2013","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2014","2014","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2015","2015","1000 ha","1209.44","X","Figure from external organization",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2016","2016","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2017","2017","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2018","2018","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2019","2019","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2020","2020","1000 ha","1209.44","X","Figure from external organization",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2021","2021","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2022","2022","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2023","2023","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2024","2024","1000 ha","1209.44","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2025","2025","1000 ha","1209.44","X","Figure from external organization",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2010","2010","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2011","2011","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2012","2012","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2013","2013","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2014","2014","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2015","2015","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2016","2016","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2017","2017","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2018","2018","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2019","2019","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2020","2020","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2021","2021","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2022","2022","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2023","2023","1000 ha","2875","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2010","2010","1000 ha","782.07","X","Figure from external organization",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2011","2011","1000 ha","785.092","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2012","2012","1000 ha","788.114","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2013","2013","1000 ha","791.136","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2014","2014","1000 ha","794.158","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2015","2015","1000 ha","797.18","X","Figure from external organization",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2016","2016","1000 ha","825.944","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2017","2017","1000 ha","854.708","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2018","2018","1000 ha","883.472","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2019","2019","1000 ha","912.236","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2020","2020","1000 ha","941","X","Figure from external organization",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2021","2021","1000 ha","941","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2022","2022","1000 ha","941","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2023","2023","1000 ha","941","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2024","2024","1000 ha","941","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2025","2025","1000 ha","941","X","Figure from external organization",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2010","2010","1000 ha","84.8","X","Figure from external organization",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2011","2011","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2012","2012","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2013","2013","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2014","2014","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2015","2015","1000 ha","84.8","X","Figure from external organization",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2016","2016","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2017","2017","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2018","2018","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2019","2019","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2020","2020","1000 ha","84.8","X","Figure from external organization",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2021","2021","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2022","2022","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2023","2023","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2024","2024","1000 ha","84.8","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6714","Primary Forest","2025","2025","1000 ha","84.8","X","Figure from external organization",""
